Size,BubbleSort,QuickSort,MergeSort,StdSort
100,0.00102117,0.000154417,0.00018075,0.000952375
200,0.00432292,0.000387083,0.000419083,0.00123383
500,0.0300829,0.00112621,0.00122533,0.00219287
1000,0.116661,0.00259167,0.00272988,0.00355604
2000,0.460539,0.00549662,0.00609967,0.00627604
5000,2.84925,0.0159483,0.0170063,0.0136413
10000,11.4844,0.0338421,0.0372758,0.0250956
20000,45.7032,0.0710563,0.0800288,0.0490671
50000,-1,0.198779,0.218664,0.116865
100000,-1,0.423401,0.461261,0.227564
200000,-1,0.91337,0.981835,0.463531
500000,-1,2.43351,2.62675,1.1482
