Size,BubbleSort,QuickSort,MergeSort,StdSort
100,0.00108183,0.000191625,0.000183833,0.000929417
200,0.0042125,0.000352208,0.000400292,0.00117517
500,0.027794,0.00112096,0.00123421,0.00222237
1000,0.121126,0.00252425,0.00267138,0.00353067
2000,0.454673,0.00546187,0.00596083,0.00621325
5000,2.83565,0.0152052,0.0169079,0.0139016
10000,11.2875,0.0348211,0.0363639,0.025229
20000,45.6217,0.0739573,0.0794805,0.0478187
50000,-1,0.193655,0.217257,0.115262
100000,-1,0.425361,0.460895,0.228205
200000,-1,0.894789,0.977691,0.449539
500000,-1,2.4238,2.61532,1.12247
